選択した画像ファイル,コメント,職業,年齢,性別,子供の有無,結婚状態,女性像
hair_design_001.jpg,ツヤ感のある髪質表現が美しいと感じました,パート,31,女性,いる,既婚,フェミニン
hair_design_001.jpg,顔周りのレイヤーが小顔効果がありそうで良いと思いました,パート,41,女性,いる,既婚,カジュアル
hair_design_001.jpg,ボブスタイルの中でも特に洗練された雰囲気,主婦,23,女性,いない,既婚,エレガント
hair_design_002.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,パート,41,女性,いる,既婚,スタイリッシュ
hair_design_002.jpg,自然な動きのあるスタイルが素敵だと思います,主婦,34,女性,いる,既婚,カジュアル
hair_design_002.jpg,前髪ありのスタイルが若々しくて可愛い,パート,22,女性,いない,未婚,フェミニン
hair_design_002.jpg,艶やかで健康的な髪質に見えるのが魅力的,自営業,33,女性,いる,既婚,エレガント
hair_design_002.jpg,ふんわりとしたカールが女性らしくて好きです,会社員,32,女性,いない,既婚,フェミニン
hair_design_003.jpg,前髪のデザインが個性的で可愛いと思いました,学生,25,女性,いない,未婚,カジュアル
hair_design_003.jpg,短めのボブスタイルで活動的な印象を受けました,主婦,42,女性,いる,既婚,カジュアル
hair_design_003.jpg,長いヘアスタイルだが重くなりすぎず軽くなりすぎずがいい,パート,22,女性,いない,未婚,フェミニン
hair_design_003.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,学生,38,女性,いる,既婚,スタイリッシュ
hair_design_003.jpg,前髪のデザインが個性的で可愛いと思いました,パート,30,女性,いる,既婚,カジュアル
hair_design_004.jpg,前髪が長めで顔周りがすっきりして見える,アルバイト,21,女性,いない,未婚,カジュアル
hair_design_004.jpg,長いヘアスタイルだが重くなりすぎず軽くなりすぎずがいい,学生,21,女性,いない,未婚,フェミニン
hair_design_004.jpg,前髪ありのスタイルが若々しくて可愛い,主婦,44,女性,いる,既婚,フェミニン
hair_design_004.jpg,直毛で清潔感のあるスタイルが好印象,学生,31,女性,いない,未婚,エレガント
hair_design_005.jpg,ナチュラルな雰囲気が普段使いしやすそうで良い,アルバイト,43,女性,いる,既婚,カジュアル
hair_design_005.jpg,ストレートでシンプルだけど洗練された印象,アルバイト,41,女性,いる,既婚,エレガント
hair_design_005.jpg,シンプルながらも上品さを感じるデザイン,パート,43,女性,いる,既婚,エレガント
hair_design_005.jpg,明るい髪色が顔色を明るく見せてくれそう,自営業,42,女性,いる,既婚,カジュアル
hair_design_005.jpg,ふんわりとしたカールが女性らしくて好きです,自営業,38,女性,いる,既婚,フェミニン
hair_design_005.jpg,明るいカラーと軽やかなスタイルが春夏にぴったり,パート,33,女性,いる,既婚,カジュアル
hair_design_006.jpg,短めのボブスタイルで活動的な印象を受けました,パート,40,女性,いる,既婚,カジュアル
hair_design_006.jpg,前髪のデザインが個性的で可愛いと思いました,主婦,40,女性,いる,既婚,フェミニン
hair_design_006.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,学生,42,女性,いない,未婚,スタイリッシュ
hair_design_006.jpg,シンプルながらも上品さを感じるデザイン,会社員,26,女性,いない,未婚,エレガント
hair_design_006.jpg,ボブでもロングでも短すぎず長すぎず巻いてあるのが好み,自営業,43,女性,いる,既婚,カジュアル
hair_design_006.jpg,エレガントで上品な雰囲気が魅力的です,主婦,38,女性,いる,既婚,エレガント
hair_design_007.jpg,自然な動きのあるスタイルが素敵だと思います,会社員,31,女性,いない,未婚,カジュアル
hair_design_007.jpg,直毛で清潔感のあるスタイルが好印象,会社員,23,女性,いない,未婚,エレガント
hair_design_007.jpg,モデルさんの雰囲気に合うような髪型だったので選んだ,アルバイト,29,女性,いない,未婚,スタイリッシュ
hair_design_007.jpg,ボブでもロングでも短すぎず長すぎず巻いてあるのが好み,パート,41,女性,いる,既婚,カジュアル
hair_design_008.jpg,前髪ありのスタイルが若々しくて可愛い,アルバイト,41,女性,いる,既婚,フェミニン
hair_design_008.jpg,直毛で清潔感のあるスタイルが好印象,会社員,33,女性,いない,既婚,エレガント
hair_design_008.jpg,ナチュラルで柔らかい印象のスタイルが素敵だと思いました,学生,38,女性,いない,未婚,カジュアル
hair_design_008.jpg,前髪ありのスタイルが若々しくて可愛い,学生,23,女性,いない,未婚,フェミニン
hair_design_008.jpg,短めのボブスタイルで活動的な印象を受けました,学生,32,女性,いない,未婚,カジュアル
hair_design_008.jpg,セミロングの長さとカールのバランスが絶妙,自営業,26,女性,いない,未婚,フェミニン
hair_design_009.jpg,ボブでもロングでも短すぎず長すぎず巻いてあるのが好み,パート,26,女性,いない,未婚,カジュアル
hair_design_009.jpg,シンプルながらも上品さを感じるデザイン,自営業,41,女性,いる,既婚,エレガント
hair_design_009.jpg,クールでかっこいい印象のヘアスタイルが気に入りました,主婦,34,女性,いる,既婚,スタイリッシュ
hair_design_009.jpg,ミディアムレングスで扱いやすそうなのが良い,アルバイト,24,女性,いない,未婚,カジュアル
hair_design_009.jpg,ショートボブのシルエットが綺麗で素敵,アルバイト,25,女性,いない,未婚,エレガント
hair_design_009.jpg,前髪のデザインが個性的で可愛いと思いました,主婦,43,女性,いる,既婚,フェミニン
hair_design_009.jpg,シンプルながらも上品さを感じるデザイン,主婦,28,女性,いる,既婚,エレガント
hair_design_010.jpg,ナチュラルで柔らかい印象のスタイルが素敵だと思いました,主婦,39,女性,いる,既婚,カジュアル
hair_design_010.jpg,ストレートでシンプルだけど洗練された印象,主婦,36,女性,いる,既婚,エレガント
hair_design_010.jpg,シンプルながらも上品さを感じるデザイン,パート,34,女性,いる,既婚,エレガント
hair_design_010.jpg,ショートボブのシルエットが綺麗で素敵,自営業,36,女性,いる,既婚,スタイリッシュ
hair_design_011.jpg,可愛らしくて明るい印象のスタイル,会社員,28,女性,いない,未婚,フェミニン
hair_design_011.jpg,若々しさが溢れるデザインが素敵,学生,22,女性,いない,未婚,カジュアル
hair_design_011.jpg,トレンド感のあるカラーリングが魅力的,アルバイト,24,女性,いない,未婚,スタイリッシュ
hair_design_012.jpg,落ち着いた雰囲気で大人の女性にぴったり,会社員,35,女性,いる,既婚,エレガント
hair_design_012.jpg,柔らかい質感が優しい印象を与える,主婦,37,女性,いる,既婚,フェミニン
hair_design_012.jpg,シンプルで洗練されたスタイル,パート,33,女性,いる,既婚,エレガント
hair_design_012.jpg,上品で知的な雰囲気がある,会社員,31,女性,いない,未婚,エレガント
hair_design_012.jpg,ナチュラルで好印象なヘアスタイル,自営業,36,女性,いる,既婚,カジュアル
hair_design_013.jpg,エレガントで洗練された大人のスタイル,会社員,42,女性,いる,既婚,エレガント
hair_design_013.jpg,上品な雰囲気が漂うデザイン,主婦,45,女性,いる,既婚,エレガント
hair_design_013.jpg,落ち着いた色合いが素敵,パート,43,女性,いる,既婚,エレガント
hair_design_014.jpg,爽やかで清潔感のあるスタイル,学生,21,女性,いない,未婚,カジュアル
hair_design_014.jpg,シンプルだけど個性的,アルバイト,23,女性,いない,未婚,スタイリッシュ
hair_design_014.jpg,ナチュラルで好感が持てる,会社員,26,女性,いない,未婚,カジュアル
hair_design_014.jpg,軽やかで動きのあるスタイル,学生,24,女性,いない,未婚,カジュアル
hair_design_015.jpg,エレガントで品のあるスタイル,会社員,34,女性,いる,既婚,エレガント
hair_design_015.jpg,柔らかい印象が女性らしい,主婦,32,女性,いる,既婚,フェミニン
hair_design_015.jpg,上品で洗練された雰囲気,パート,35,女性,いる,既婚,エレガント
hair_design_016.jpg,トレンド感のあるデザインが魅力的,学生,22,女性,いない,未婚,スタイリッシュ
hair_design_016.jpg,若々しくて活動的な印象,アルバイト,25,女性,いない,未婚,カジュアル
hair_design_016.jpg,個性的で印象に残るスタイル,会社員,27,女性,いない,未婚,スタイリッシュ
hair_design_016.jpg,明るい雰囲気が良い,学生,23,女性,いない,未婚,カジュアル
hair_design_016.jpg,ナチュラルで可愛らしい,アルバイト,26,女性,いない,未婚,フェミニン
hair_design_017.jpg,落ち着いた雰囲気で大人っぽい,会社員,41,女性,いる,既婚,エレガント
hair_design_017.jpg,上品で知的な印象,主婦,44,女性,いる,既婚,エレガント
hair_design_017.jpg,柔らかい質感が素敵,パート,42,女性,いる,既婚,フェミニン
hair_design_017.jpg,シンプルで洗練されている,会社員,40,女性,いる,既婚,エレガント
hair_design_018.jpg,ナチュラルで優しい印象のスタイル,主婦,33,女性,いる,既婚,カジュアル
hair_design_018.jpg,柔らかいカールが女性らしい,パート,31,女性,いる,既婚,フェミニン
hair_design_018.jpg,落ち着いた雰囲気が良い,会社員,35,女性,いる,既婚,エレガント
hair_design_018.jpg,上品で好印象なスタイル,主婦,34,女性,いる,既婚,エレガント
hair_design_018.jpg,バランスの取れたデザイン,自営業,32,女性,いない,既婚,カジュアル
hair_design_019.jpg,爽やかで清潔感がある,学生,22,女性,いない,未婚,カジュアル
hair_design_019.jpg,シンプルだけどおしゃれ,アルバイト,24,女性,いない,未婚,スタイリッシュ
hair_design_019.jpg,ナチュラルで好感が持てる,会社員,25,女性,いない,未婚,カジュアル
hair_design_020.jpg,エレガントで品のある印象,会社員,33,女性,いる,既婚,エレガント
hair_design_020.jpg,柔らかい雰囲気が素敵,主婦,35,女性,いる,既婚,フェミニン
hair_design_020.jpg,上品で洗練されたスタイル,パート,32,女性,いる,既婚,エレガント
hair_design_020.jpg,落ち着いた印象が良い,会社員,34,女性,いる,既婚,エレガント
